n_obs,b1,b2,t,d,lim,n_pts,EU,EV,VarU,CovUV,VarV,EA,EB,VarA,CovAB,VarB
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
10000,0.1,0.1,0.2,1,0.5,10,0.520675282614849,0.431395050384223,1.05462398918865,-0.00495813474141737,0.885192135650206,1.06223343877381,2.10150748796313,2.32351067025599,0.924178156886249,2.19492621263562
